id,query,gender,serpUrl
1,adidas nmds,female,https://fashioncomp2.github.io/listComparison2017/adidas%20nmds%2Bfemale.html
2,nmd adidas,female,https://fashioncomp2.github.io/listComparison2017/nmd%20adidas%2Bfemale.html
3,chuck taylor all star,male,https://fashioncomp2.github.io/listComparison2017/chuck%20taylor%20all%20star%2Bmale.html
4,chelsea,female,https://fashioncomp2.github.io/listComparison2017/chelsea%2Bfemale.html
5,adidas gazelle,female,https://fashioncomp2.github.io/listComparison2017/adidas%20gazelle%2Bfemale.html
6,nike air max thea,female,https://fashioncomp2.github.io/listComparison2017/nike%20air%20max%20thea%2Bfemale.html
7,chelsea bots,female,https://fashioncomp2.github.io/listComparison2017/chelsea%20bots%2Bfemale.html
8,chuck tailor all star,male,https://fashioncomp2.github.io/listComparison2017/chuck%20tailor%20all%20star%2Bmale.html
9,puma suede,female,https://fashioncomp2.github.io/listComparison2017/puma%20suede%2Bfemale.html
10,nike thea,female,https://fashioncomp2.github.io/listComparison2017/nike%20thea%2Bfemale.html
11,regenmantel,female,https://fashioncomp2.github.io/listComparison2017/regenmantel%2Bfemale.html
12,poncho,female,https://fashioncomp2.github.io/listComparison2017/poncho%2Bfemale.html
13,hotpants,female,https://fashioncomp2.github.io/listComparison2017/hotpants%2Bfemale.html
14,cape,female,https://fashioncomp2.github.io/listComparison2017/cape%2Bfemale.html
15,slips,female,https://fashioncomp2.github.io/listComparison2017/slips%2Bfemale.html
16,shirt,female,https://fashioncomp2.github.io/listComparison2017/shirt%2Bfemale.html
17,strümpfe,female,https://fashioncomp2.github.io/listComparison2017/str%C3%BCmpfe%2Bfemale.html
18,funktionsjacke,male,https://fashioncomp2.github.io/listComparison2017/funktionsjacke%2Bmale.html
19,gap shirt langarm,female,https://fashioncomp2.github.io/listComparison2017/gap%20shirt%20langarm%2Bfemale.html
20,abendkleider lang,female,https://fashioncomp2.github.io/listComparison2017/abendkleider%20lang%2Bfemale.html
21,schuhe keilabsatz,female,https://fashioncomp2.github.io/listComparison2017/schuhe%20keilabsatz%2Bfemale.html
22,kleid schulterfrei,female,https://fashioncomp2.github.io/listComparison2017/kleid%20schulterfrei%2Bfemale.html
23,beige shirt,male,https://fashioncomp2.github.io/listComparison2017/beige%20shirt%2Bmale.html
24,pumps blau,female,https://fashioncomp2.github.io/listComparison2017/pumps%20blau%2Bfemale.html
25,bandeau top,female,https://fashioncomp2.github.io/listComparison2017/bandeau%20top%2Bfemale.html
26,blazer grau,female,https://fashioncomp2.github.io/listComparison2017/blazer%20grau%2Bfemale.html
27,hochzeit,female,https://fashioncomp2.github.io/listComparison2017/hochzeit%2Bfemale.html
28,boho,female,https://fashioncomp2.github.io/listComparison2017/boho%2Bfemale.html
29,ethno,female,https://fashioncomp2.github.io/listComparison2017/ethno%2Bfemale.html
30,sommer,female,https://fashioncomp2.github.io/listComparison2017/sommer%2Bfemale.html
31,basketball,female,https://fashioncomp2.github.io/listComparison2017/basketball%2Bfemale.html
32,kleid hochzeit,female,https://fashioncomp2.github.io/listComparison2017/kleid%20hochzeit%2Bfemale.html
33,wedding,female,https://fashioncomp2.github.io/listComparison2017/wedding%2Bfemale.html
34,kleid sommer,female,https://fashioncomp2.github.io/listComparison2017/kleid%20sommer%2Bfemale.html
35,yoga hose,female,https://fashioncomp2.github.io/listComparison2017/yoga%20hose%2Bfemale.html
36,d&g,female,https://fashioncomp2.github.io/listComparison2017/d%26g%2Bfemale.html
37,sexy,female,https://fashioncomp2.github.io/listComparison2017/sexy%2Bfemale.html
38,abendkleid sexy,female,https://fashioncomp2.github.io/listComparison2017/abendkleid%20sexy%2Bfemale.html
39,sexy bikini,female,https://fashioncomp2.github.io/listComparison2017/sexy%20bikini%2Bfemale.html
40,elegant,female,https://fashioncomp2.github.io/listComparison2017/elegant%2Bfemale.html
41,jumpsuit elegant,female,https://fashioncomp2.github.io/listComparison2017/jumpsuit%20elegant%2Bfemale.html
42,gigi hadid,female,https://fashioncomp2.github.io/listComparison2017/gigi%20hadid%2Bfemale.html
43,schuhe ohne schnürsenkel,male,https://fashioncomp2.github.io/listComparison2017/schuhe%20ohne%20schn%C3%BCrsenkel%2Bmale.html
